id_Siniestro; Importe pagado ;Estado;Fecha Siniestro;Mes;Año;Unidad de Negocio;Id_PAS;Localidad de Ocurrencia;CP;Provincia;Marca;Modelo;Versión;Año;Suma Asegurada
4029;$ 1.198.500,00;CERRADO;29/7/2023;Julio;2023;Buenos Aires;105;C.A.B.A.;1000;C.A. de Buenos Aires;HONDA;ON OFF;XR  250  TORNADO;2014;$ 1.198.500,00
3879;$ 1.047.000,00;CERRADO;19/7/2023;Julio;2023;Mendoza;981;RIOBAMBA 1-800;1025;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  200 NS;2017;$ 1.047.000,00
4114;$ 648.000,00;CERRADO;4/8/2023;Agosto;2023;USE;11;AMBATO 4001-4100;1228;C.A. de Buenos Aires;HONDA;BUSINESS;CB    125 TWISTER;2022;$ 648.000,00
1503;$ 1.099.000,00;CERRADO;22/12/2022;Diciembre;2022;Buenos Aires;26;ALVAREZ JONTE AVDA. 3301-5800;1407;C.A. de Buenos Aires;KTM;TOURING;DUKE 200 NAKED;2021;$ 1.099.000,00
3753;$ 795.000,00;CERRADO;10/7/2023;Julio;2023;Buenos Aires;520;ACASSUSO 5101-7300;1408;C.A. de Buenos Aires;HONDA;SPORT;CB  190R;2017;$ 795.000,00
4270;$ 3.239.000,00;CERRADO;15/8/2023;Agosto;2023;Buenos Aires;1422;BAHIA BLANCA 2101-3400;1417;C.A. de Buenos Aires;BAJAJ;STREET;DOMINAR 400 TOURER;2023;$ 3.239.000,00
2778;$ 663.500,00;CERRADO;14/4/2023;Abril;2023;USE;11;VILLA DEVOTO;1419;Buenos Aires;BAJAJ;STREET;ROUSER  200 NS;2016;$ 663.500,00
1434;$ 3.178.000,00;CERRADO;18/12/2022;Diciembre;2022;Buenos Aires;26;PACHECO 1801-3600;1431;C.A. de Buenos Aires;CF MOTO;TOURING;MT 650;2022;$ 3.178.000,00
2961;$ 651.500,00;CERRADO;29/4/2023;Abril;2023;USE;11;SANTANDER 4601-7000;1439;C.A. de Buenos Aires;YAMAHA;TURISMO;150 FZ FI S;2016;$ 651.500,00
1717;$ 3.351.000,00;CERRADO;12/1/2023;Enero;2023;Buenos Aires;26;OLIVOS;1636;Buenos Aires;KTM;TOURING;ADVENTURE 390;2022;$ 3.351.000,00
3351;$ 352.000,00;CERRADO;5/6/2023;Junio;2023;Buenos Aires;919;JOSE C. PAZ;1665;Buenos Aires;GILERA;TURISMO;150 VC;2020;$ 352.000,00
3819;$ 1.650.000,00;CERRADO;15/7/2023;Julio;2023;Buenos Aires;1332;SAENZ PEÑA;1674;Buenos Aires;BAJAJ;STREET;DOMINAR 250;2022;$ 1.650.000,00
1700;$ 401.000,00;CERRADO;11/1/2023;Enero;2023;Buenos Aires;130;MORENO;1740;Buenos Aires;YAMAHA;TURISMO;160 FZ 16;2013;$ 401.000,00
3878;$ 539.000,00;CERRADO;19/7/2023;Julio;2023;Buenos Aires;1232;VILLA INSUPERABLE;1752;Buenos Aires;GILERA;BUSINESS;125 SMASH X;2021;$ 539.000,00
4214;$ 152.000,00;CERRADO;11/8/2023;Agosto;2023;Buenos Aires;388;LOMAS DEL MIRADOR;1752;Buenos Aires;ZANELLA;STREET;HJ     125;2013;$ 152.000,00
2241;$ 300.000,00;CERRADO;28/2/2023;Febrero;2023;Buenos Aires;327;LAFERRERE;1757;Buenos Aires;MONDIAL;STREET;150 RD H RT;2020;$ 300.000,00
1345;$ 1.111.000,00;CERRADO;8/12/2022;Diciembre;2022;Buenos Aires;26;GONZALEZ CATAN;1759;Buenos Aires;BAJAJ;STREET;DOMINAR 250;2022;$ 1.111.000,00
4713;$ 2.758.000,00;CERRADO;14/9/2023;Septiembre;2023;Buenos Aires;1439;ISIDRO CASANOVA;1765;Buenos Aires;HONDA;ON OFF;NX  400 FALCON;2013;$ 2.758.000,00
2742;$ 575.000,00;CERRADO;11/4/2023;Abril;2023;Buenos Aires;845;INGENIERO BUDGE;1773;Buenos Aires;BAJAJ;STREET;V 15    150 VIKRANT;2021;$ 575.000,00
4751;$ 599.000,00;CERRADO;16/9/2023;Septiembre;2023;Buenos Aires;201;MONTE GRANDE;1842;Buenos Aires;HONDA;BUSINESS;CB1   125;2015;$ 599.000,00
1490;$ 179.500,00;CERRADO;21/12/2022;Diciembre;2022;La Plata;346;MELCHOR ROMERO;1903;Buenos Aires;GILERA;BUSINESS;110 SMASH FULL UNDERBONE;2018;$ 179.500,00
4752;$ 375.000,00;CERRADO;16/9/2023;Septiembre;2023;La Plata;346;MELCHOR ROMERO;1903;Buenos Aires;ZANELLA;CUB;ZB 110 AT NEW;2023;$ 375.000,00
3778;$ 2.555.000,00;CERRADO;11/7/2023;Julio;2023;Rosario;1174;ROSARIO;2000;Santa Fe;KTM;TOURING;DUKE 390 NAKED;2018;$ 2.555.000,00
4459;$ 320.000,00;CERRADO;28/8/2023;Agosto;2023;Parana;1456;SANTA FE;3000;Santa Fe;GILERA;CUB;110 SMASH AUTOMATICA;2021;$ 320.000,00
3989;$ 616.000,00;CERRADO;27/7/2023;Julio;2023;USE;11;CONCEPCION DEL URUGUAY;3260;Entre Rios;HONDA;BUSINESS;WAVE  110S NEW BASE;2022;$ 616.000,00
2779;$ 861.000,00;CERRADO;14/4/2023;Abril;2023;Mar del Plata;1099;MAR DEL PLATA;7600;Buenos Aires;YAMAHA;ENDURO;125 XTZ;2019;$ 861.000,00
1226;$ 533.500,00;CERRADO;25/11/2022;Noviembre;2022;USE;11;BAHIA BLANCA;8000;Buenos Aires;YAMAHA;TURISMO;150 FZ FI S;2018;$ 533.500,00
7614;$ 2.625.000,00;CERRADO;9/2/2024;Febrero;2024;Buenos Aires;199;CABALLITO 1401-1500;1406;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  200 NS;2019;$ 2.625.000,00
7381;$ 491.000,00;CERRADO;30/1/2024;Enero;2024;USE;11;SANTOS LUGARES;1696;Buenos Aires;KELLER;BUSINESS;110 CRONO CLASIC ECO;2022;$ 491.000,00
91;$ 201.000,00;CERRADO;18/6/2022;Junio;2022;Buenos Aires;2;GARCIA DE COSSIO 5501-7700;1764;C.A. de Buenos Aires;YAMAHA;TURISMO;160 FZ 16;2011;$ 201.000,00
750;$ 235.500,00;CERRADO;25/9/2022;Septiembre;2022;Buenos Aires;448;TIGRE;1648;Buenos Aires;JIANSHE;-;JS 125 6B;2017;$ 235.500,00
932;$ 361.142,00;CERRADO;20/10/2022;Octubre;2022;Cordoba;521;CORDOBA;5000;Cordoba;HONDA;ON OFF;XR  125 L;2013;$ 361.142,00
3484;$ 379.500,00;CERRADO;17/6/2023;Junio;2023;Neuquen;292;NEUQUEN;8300;Neuquen;KELLER;-;200 MIRACLE (KN GY);2017;$ 379.500,00
877;$ 803.500,00;CERRADO;12/10/2022;Octubre;2022;9 de julio (provincia de Bs.As);496;ALMAGRO 1601-1700;1416;C.A. de Buenos Aires;HONDA;SPORT;CB 250 TWISTER (CBX);2018;$ 803.500,00
1305;$ 293.000,00;CERRADO;3/12/2022;Diciembre;2022;Buenos Aires;323;EZPELETA;1882;Buenos Aires;ZANELLA;STREET;RX1 150;2018;$ 293.000,00
1655;$ 208.000,00;CERRADO;5/1/2023;Enero;2023;Buenos Aires;770;C.A.B.A.;1000;C.A. de Buenos Aires;CORVEN;CUB;MIRAGE  110 AD;2018;$ 208.000,00
1607;$ 503.000,00;CERRADO;31/12/2022;Diciembre;2022;La Plata;424;BROWN ALTE. AVDA. 801-1500;1159;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  160 NS;2020;$ 503.000,00
2767;$ 365.500,00;CERRADO;13/4/2023;Abril;2023;Buenos Aires;18;VILLA DE MAYO;1614;Buenos Aires;CORVEN;CUB;MIRAGE  110 AD;2023;$ 365.500,00
3945;$ 1.444.500,00;CERRADO;24/7/2023;Julio;2023;USE;8;MERLO;1722;Buenos Aires;HONDA;ON OFF;XR 190 L (ARG);2023;$ 1.444.500,00
1852;$ 1.417.500,00;CERRADO;25/1/2023;Enero;2023;Buenos Aires;156;TABLADA ESTAFETA N§2;1766;Buenos Aires;KTM;STREET;DUKE 250 NAKED;2020;$ 1.417.500,00
1633;$ 602.500,00;CERRADO;3/1/2023;Enero;2023;Buenos Aires;762;MONTE GRANDE;1842;Buenos Aires;HONDA;ON OFF;XR  150 L;2018;$ 602.500,00
3136;$ 255.500,00;CERRADO;15/5/2023;Mayo;2023;Buenos Aires;1181;MONTE GRANDE;1842;Buenos Aires;ZANELLA;STREET;SAPUCAI 150 Z3;2014;$ 255.500,00
1273;$ 1.333.500,00;CERRADO;30/11/2022;Noviembre;2022;La Plata;209;LA PLATA;1900;Buenos Aires;BAJAJ;STREET;DOMINAR 400 NEW 2019;2020;$ 1.333.500,00
1405;$ 1.002.500,00;CERRADO;15/12/2022;Diciembre;2022;La Plata;204;LA PLATA;1900;Buenos Aires;HONDA;SPORT;CB 250 TWISTER (CBX);2021;$ 1.002.500,00
2089;$ 397.000,00;CERRADO;15/2/2023;Febrero;2023;Rosario;412;ROSARIO;2000;Santa Fe;HONDA;BUSINESS;WAVE  110S NEW BASE;2021;$ 397.000,00
3263;$ 4.214.000,00;CERRADO;28/5/2023;Mayo;2023;Buenos Aires;26;CAMPANA;2804;Buenos Aires;CF MOTO;TOURING;MT 650;2022;$ 4.214.000,00
2175;$ 289.000,00;CERRADO;22/2/2023;Febrero;2023;Cordoba;931;CORDOBA;5000;Cordoba;HONDA;BUSINESS;C BIZ 125 KS;2014;$ 289.000,00
4271;$ 864.225,00;CERRADO;15/8/2023;Agosto;2023;Mar del Plata;33;MAR DEL PLATA ESTAFETA No.1;7600;Buenos Aires;YAMAHA;TURISMO;160 FZ 16;2016;$ 864.225,00
804;$ 288.500,00;CERRADO;3/10/2022;Octubre;2022;Buenos Aires;466;DON TORCUATO;1611;Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2021;$ 288.500,00
1464;$ 445.000,00;CERRADO;20/12/2022;Diciembre;2022;Buenos Aires;675;TTE. GRAL. JUAN DOMINGO PERON 1-1400;1038;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  160 NS;2018;$ 445.000,00
565;$ 422.000,00;CERRADO;30/8/2022;Agosto;2022;Buenos Aires;362;SEGUI JUAN FRANCISCO 3501-4800;1406;C.A. de Buenos Aires;HONDA;BUSINESS;GLH 150;2021;$ 422.000,00
2845;$ 1.341.000,00;CERRADO;20/4/2023;Abril;2023;USE;11;LA PLATA;1900;Buenos Aires;VOGE;TRIAL/ADVENTURE;300 R;2022;$ 1.341.000,00
245;$ 226.000,00;CERRADO;16/7/2022;Julio;2022;Buenos Aires;194;C.A.B.A.;1000;C.A. de Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2020;$ 226.000,00
4480;$ 1.281.500,00;CERRADO;29/8/2023;Agosto;2023;Buenos Aires;1458;LANUS OESTE;1824;Buenos Aires;BAJAJ;STREET;ROUSER  200 AS;2017;$ 1.281.500,00
307;$ 158.500,00;CERRADO;27/7/2022;Julio;2022;USE;11;LOMAS DE ZAMORA;1832;Buenos Aires;CORVEN;CUB;MIRAGE  110 RT;2020;$ 158.500,00
954;$ 327.500,00;CERRADO;22/10/2022;Octubre;2022;Buenos Aires;530;MERLO;1722;Buenos Aires;HONDA;BUSINESS;WAVE  110S C/D;2018;$ 327.500,00
1194;$ 232.000,00;CERRADO;22/11/2022;Noviembre;2022;La Plata;21;LA PLATA ESTAFETA No.1;1900;Buenos Aires;ZANELLA;STREET;RX  150 G3;2018;$ 232.000,00
4010;$ 611.500,00;CERRADO;28/7/2023;Julio;2023;USE;11;C.A.B.A.;1000;C.A. de Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2021;$ 611.500,00
4643;$ 1.917.000,00;CERRADO;10/9/2023;Septiembre;2023;Buenos Aires;26;C.A.B.A.;1000;C.A. de Buenos Aires;KTM;TOURING;DUKE 200 NAKED;2022;$ 1.917.000,00
4714;$ 2.376.000,00;CERRADO;14/9/2023;Septiembre;2023;USE;11;ACEVEDO 1-2000;1414;C.A. de Buenos Aires;HONDA;ON OFF;XR 250 TORNADO ( ARG );2023;$ 2.376.000,00
